Incidence,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
1,-0.00184,0.0244,1.09,0.948,NA,-1.56,-1.58,-0.664,0.568,-0.459,-1.2,0.0957,-0.21,-0.729,0.575,NA
1,-0.0498,0.00719,1.07,0.923,0.472,-1.69,-1.65,0.594,0.205,-0.281,-1.28,-0.114,-0.147,0.363,1.07,1.46
1,-0.12,0.00218,0.141,0.14,0.288,-0.428,-0.538,NA,-0.433,0.169,-0.678,-0.738,0.271,0.788,0.779,0.389
1,-0.116,0.0879,0.324,0.277,0.399,-0.336,-0.336,NA,-0.168,0.212,-0.689,0.558,0.188,-0.00104,0.178,0.546
1,-0.0615,-0.26,0.871,0.755,NA,-1.43,-1.39,-0.796,-0.422,-0.0827,-1.38,-0.0306,0.605,NA,NA,NA
1,-0.144,-0.0793,0.631,0.516,-2.28,-0.551,-0.437,-1.36,-1.85,2.27,0.225,-0.995,0.107,-1.45,-0.766,-1.75
1,-0.0129,-0.0613,0.642,0.562,-0.749,-0.963,-0.945,-0.0721,-1.31,-1.42,-1.26,-0.167,0.692,-0.288,-1.21,0.926
1,-0.222,-0.441,0.989,0.848,NA,-1.61,-1.56,-1.34,-1.95,-0.375,-1.37,-0.537,0.869,-1.45,-1.57,3.69
1,-0.0438,0.00049,0.593,0.54,0.308,-1.06,-1.08,-0.352,-0.21,1.79,-0.953,-0.256,-0.0171,-0.436,-0.538,0.847
1,0.11,0.231,0.798,0.711,0.614,-1.37,-1.39,1.08,0.195,0.179,0.962,0.251,-0.843,1.14,NA,-0.644
1,-0.094,0.0387,0.617,0.546,0.401,-1.35,-1.4,NA,0.771,0.0904,-0.716,-0.104,0.175,-0.237,-0.00592,0.965
1,0.0237,0.0346,0.74,0.636,NA,-1.13,-1.09,-0.218,-0.14,0.0341,-1.08,0.0965,0.594,-0.374,0.244,NA
1,-0.153,0.0828,0.332,0.298,0.558,-0.428,-0.378,-0.123,-0.101,-0.694,-0.887,0.0888,0.62,-0.11,0.478,0.162
1,0.117,-0.0559,0.514,0.442,0.0452,-0.749,-0.722,-0.627,-1.5,-0.0609,-1.22,-0.0302,-0.135,-0.794,-1.36,0.866
1,0.0297,0.0196,1.21,1.05,0.326,-1.95,-1.9,-0.823,-0.548,-0.189,-1.17,0.142,-0.248,-0.929,NA,1.35
1,-0.00752,0.0826,1.12,0.974,0.199,-1.96,-1.91,-0.653,-0.567,0.814,-1.03,-0.155,-0.42,-0.768,-0.859,0.818
1,0.096,0.0915,0.374,0.307,NA,-0.367,-0.409,-0.806,0.169,0.425,0.0746,-0.104,-0.582,-0.72,-0.994,0.362
1,0.0869,0.138,1.03,0.88,-1.28,-1.78,-1.72,0.325,-1.2,0.262,-1.22,0.0572,-0.548,0.0326,-0.741,0.00843
1,-0.0318,0.0523,0.97,0.839,NA,-1.64,-1.61,-0.568,0.0187,0.83,-1.11,-0.168,0.204,-0.655,-0.0502,1.8
1,0.0645,-0.00238,1.13,0.978,0.675,-1.6,-1.57,NA,-0.303,-0.705,-1.1,-0.523,0.301,-1.02,-0.592,1.62
1,0.0727,0.173,1.21,1.05,0.464,-1.88,-1.84,0.625,-0.412,0.51,-1.01,-0.0877,-0.384,0.364,0.782,0.412
1,-0.229,-0.151,0.388,0.379,0.00876,-0.454,-0.531,1.45,0.524,0.573,-0.0038,-0.0291,0.00513,1.28,0.382,0.15
1,-0.034,0.178,0.385,0.339,0.358,-0.673,-0.678,0.472,0.342,-0.597,-0.132,0.407,0.145,0.598,0.182,NA
1,0.00669,0.0381,0.895,0.758,0.207,-1.16,-1.09,1.54,-0.492,0.303,-1.06,0.366,-0.548,NA,1.13,0.194
1,-0.11,0.00447,0.292,0.255,0.696,-0.442,-0.422,-0.278,0.239,-0.198,-1.19,-0.143,-0.184,-0.349,0.857,NA
1,-0.103,-0.124,0.607,0.539,0.162,-0.727,-0.717,-0.356,-0.403,0.912,-1.22,-0.0252,0.25,-0.507,-0.648,0.837
1,-0.148,-0.216,-0.0693,-0.0647,-0.0826,-0.108,-0.138,-0.521,-0.493,0.693,-0.39,-0.679,0.667,-0.626,-0.724,NA
